Year,Month,Date,Tsunami,Latitude,Longitude,Focal Depth (km),Magnitude,Deaths,Injuries,Country
1693,,,,23.1,-82.4,,,,,CUBA
1694,4.0,,Yes,25.0,121.5,,5.5,,,TAIWAN
1694,6.0,19.0,,40.0,139.5,,,394.0,,JAPAN
1694,9.0,8.0,,40.7,15.7,,,4057.0,,ITALY
1695,2.0,25.0,,45.4,12.2,,6.2,,,ITALY
1695,5.0,18.0,,36.0,111.5,,8.0,20000.0,,CHINA
1695,6.0,11.0,,42.5,12.1,,,31.0,,ITALY
1696,5.0,,,39.3,44.6,,,,,IRAN
1696,9.0,4.0,,37.8,21.0,,,,,GREECE
1697,2.0,25.0,,16.7,-99.2,,,,,MEXICO
1698,6.0,20.0,,-1.2,-78.7,,7.7,,,ECUADOR
1698,7.0,19.0,,-1.3,-78.7,,,1000.0,,ECUADOR
1698,12.0,22.0,Yes,33.3,131.7,,6.4,,,SEIKAIDO-NANKAIDO
1699,2.0,11.0,,45.6,15.3,6.0,5.0,,,BALKANS NW
1699,7.0,14.0,,-12.1,-76.6,40.0,7.8,,,PERU
1699,,,,14.4,120.6,,,,,PHILIPPINES
1700,1.0,27.0,Yes,45.0,-125.0,,9.0,,,CASCADIA SUBDUCTION ZONE
1700,4.0,16.0,Yes,34.2,129.3,,7.0,,,JAPAN
1700,9.0,12.0,Yes,36.5,126.5,,6.5,,,SOUTH KOREA
1701,11.0,9.0,,18.3,-72.4,,,,,HAITI
1701,12.0,21.0,,16.5,-97.0,,,,,MEXICO
1702,3.0,14.0,,41.1,14.5,,,150.0,,ITALY
1702,9.0,,,14.4,-61.0,,,,,MARTINIQUE
1703,1.0,14.0,,42.78,13.1,,,40000.0,,ITALY
1703,2.0,2.0,Yes,42.467,13.2,,6.7,10000.0,,ITALY
1703,5.0,17.0,,26.6,56.2,,,,,IRAN
1703,7.0,2.0,Yes,44.4,8.917,,3.2,,,ITALY
1703,12.0,30.0,Yes,35.0,140.0,,8.2,5233.0,,JAPAN
1703,,,,26.4,55.5,,,,,IRAN
1704,5.0,27.0,,41.0,139.5,,,58.0,,JAPAN
1704,9.0,18.0,,38.0,116.5,,5.5,,,CHINA
1704,9.0,28.0,,34.9,106.8,,6.0,,,CHINA
1704,11.0,11.0,,38.8,20.8,,,,,GREECE
1705,11.0,26.0,Yes,-18.6,-70.2,,,,,CHILE
1706,4.0,20.0,,63.9,-21.2,,,,,ICELAND
1706,11.0,3.0,,41.6,14.6,,,1000.0,,ITALY
1707,9.0,17.0,,-13.0,-72.0,10.0,5.8,160.0,,PERU
1707,10.0,28.0,Yes,34.1,137.8,,8.4,,,JAPAN
1707,10.0,28.0,Yes,33.2,134.8,,8.4,5000.0,,JAPAN
1707,,,,40.4,43.0,,,,,TURKEY
1707,,,,,,,,,,EL SALVADOR
1708,2.0,13.0,Yes,34.0,137.0,,7.0,,,"TOKAIDO, JAPAN"
1708,8.0,14.0,,43.8,5.8,,,,,FRANCE
1708,11.0,28.0,Yes,-3.69,128.15,,,,,INDONESIA
1709,10.0,14.0,,37.4,105.3,,7.5,2032.0,,CHINA
